名前,価格
ＪＲ中央線 中野駅 5階建 築5年,12.9万円
リベラーレ中野,11万円
東京メトロ丸ノ内線 東高円寺駅 5階建 築6年,15.9万円
ＪＲ中央線 中野駅 11階建 築2年,16.8万円
ＪＲ中央線 中野駅 4階建 築29年,17万円
アトリオフラッツ中野,17万円
ZOOM中野,17.2万円
ＪＲ中央線 中野駅 2階建 築24年,17.6万円
ＪＲ中央線 中野駅 4階建 築3年,17.8万円
ＣＢ中野イリゼ,9.7万円
ＪＲ中央線 中野駅 地下1地上3階建 築25年,15.6万円
クレアトール中野,13.7万円
MULAN中野,14万円
ＪＲ中央線 中野駅 4階建 築8年,14万円
ＪＲ中央線 中野駅 10階建 築7年,14.4万円
ＪＲ中央線 中野駅 9階建 築21年,14.9万円
レジデンスさきがけ,11.7万円
F-stage中野,11.8万円
イプセ中野三丁目,11.6万円
ＪＲ総武線 中野駅 10階建 築26年,11.6万円
グレースヒルTMY,16.2万円
ジ・アパートメント　ヒルトップ中野,16.2万円
コンフォートアズマ,16.8万円
ＪＲ中央線 中野駅 2階建 築13年,18.2万円
EXAM(エクサム)新中野,21.2万円
エルスタンザ中野新井,21.6万円
ＪＲ中央線 中野駅 12階建 築22年,17.5万円
グローリス中野,11.4万円
ＪＲ中央線 中野駅 10階建 築3年,14.4万円
ＪＲ中央線 中野駅 5階建 築17年,15.5万円
東京メトロ東西線 中野駅 5階建 築10年,16.8万円
ＨＩＲＯ　ＭＡＩＳＯＮ　中野,18.2万円
ＪＲ中央線 中野駅 8階建 築11年,21.6万円
東京メトロ丸ノ内線 新中野駅 地下1地上3階建 築2年,14.9万円
ＪＲ中央線 中野駅 3階建 新築,10.8万円
スーリエ中野,15万円
イーストポイント中野,15万円
ＪＲ総武線 中野駅 5階建 築15年,15万円
ＪＲ総武線 中野駅 4階建 築2年,15.5万円
タスキsmart中野,8.9万円
ＡＬＴＥＲＮＡ中野,13.7万円
ＪＲ中央線 東中野駅 3階建 築17年,14万円
ＪＲ総武線 中野駅 4階建 築33年,14万円
ＪＲ中央線 中野駅 地下1地上5階建 築34年,14.4万円
ルミエール中野,8万円
PREMIUM CUBE東高円寺,13万円
コンフォリア新中野,15.5万円
ＪＲ中央線 中野駅 5階建 築6年,17万円
東京メトロ丸ノ内線 東高円寺駅 2階建 築16年,18万円
Ｐａｌｃｏｎ－ＦＬＥＸ－Ｊ．Ｋ　（パルコン　フレックス　ＪＫ）,18.5万円
Ｂｒｉｌｌｉａ中野,13.6万円
オーパス中野,11.45万円
ＪＲ総武線 中野駅 3階建 築3年,11.5万円
ガーデンスクエア中野,12.15万円
プレール・ドゥーク中野,12.85万円
ＪＲ総武線 中野駅 9階建 築9年,12.85万円
グランデ城山,13.45万円
バウスステージ中野,14.8万円
ＪＲ中央線 中野駅 3階建 築19年,12.1万円
アーバンライフ中野,12.3万円
ウッディビレッジ,7.8万円
西武新宿線 沼袋駅 3階建 築18年,8.3万円
東京メトロ丸ノ内線 新中野駅 10階建 築12年,9.5万円
ＪＲ中央線 中野駅 5階建 築5年,10万円
ＪＲ中央線 中野駅 12階建 築3年,11.3万円
東京メトロ丸ノ内線 東高円寺駅 2階建 築7年,11.4万円
ＪＲ中央線 中野駅 2階建 築8年,11.5万円
レジディア中野II,12.1万円
ＪＲ総武線 中野駅 7階建 築7年,12.1万円
ＪＲ中央線 中野駅 5階建 築14年,12.6万円
エレガント・シュヴァルベ,12.7万円
ＪＲ中央線 中野駅 5階建 築20年,12.8万円
ＪＲ中央線 中野駅 3階建 築21年,12.8万円
ガーデニア中野,12.9万円
トーシンフェニックス中野,27.9万円
東京メトロ東西線 中野駅 4階建 築2年,28.5万円
ＪＲ中央線 中野駅 4階建 築22年,6.35万円
ＮＬshinnakano Residence507,9万円
プラティーク中野ウエスト,13.9万円
ジェノヴィア新中野スカイガーデン,13.9万円
スパシエ新中野カステール,7.6万円
PREMIUM CUBE 中野,7.6万円
ＪＲ中央線 中野駅 地下1地上3階建 築34年,11.3万円
ラ・フロー中野レジェンド,11.8万円
東京メトロ丸ノ内線 東高円寺駅 2階建 築28年,14.85万円
新東ハイツ,10.5万円
アーバネックス新井薬師,11.3万円
ハーモニーテラス高円寺南,13万円
中野ステーションレジデンス,7.3万円
クレストヒル桃ヶ丘,9万円
Brillia ist 中野セントラルパーク,8.1万円
ＪＲ中央線 中野駅 12階建 築6年,6.35万円
ＪＲ中央線 中野駅 4階建 築32年,6.35万円
U court Nakano,14.9万円
FUJISTA中野,18.2万円
ＪＲ中央線 中野駅 3階建 築48年,24.7万円
シュロス新井,27.9万円
ＪＲ中央線 中野駅 3階建 築17年,31.9万円
ＪＲ中央線 中野駅 4階建 築15年,32.9万円
東京メトロ東西線 中野駅 7階建 築8年,34.4万円
ハウスベスタ,5.7万円
ＪＲ中央線 中野駅 2階建 築11年,7万円
コスモス中野,7万円
アイビーヒルズ,5.7万円
ＪＲ中央線 中野駅 5階建 築51年,7万円
ＪＲ中央線 中野駅 7階建 築52年,7万円
シャネル中野,7万円
サンクレアB,5.9万円
Ｋ２フラット,6.6万円
ＪＲ中央線 中野駅 2階建 築12年,10.1万円
ヒルズ中野,11万円
圭ハウス,11.7万円
ＪＲ中央線 中野駅 2階建 築33年,7.5万円
ＪＲ中央線 高円寺駅 2階建 築9年,10.2万円
ピア中野新井,6.3万円
ＪＲ中央線 中野駅 2階建 築35年,6.3万円
コスモハイツ,6.3万円
ＪＲ中央線 中野駅 3階建 築58年,6.3万円
中野壱番館,5.8万円
フリーデン中野,5.8万円
ＪＲ中央線 中野駅 3階建 築9年,5.9万円
アニスAOBA,6万円
ＪＲ中央線 中野駅 3階建 築37年,6万円
ハイム桃園,5.8万円
ＪＲ中央線 中野駅 6階建 築51年,6万円
フォルムダイワ,6.2万円
桃園ハウスA棟,6.2万円
東京メトロ丸ノ内線 東高円寺駅 3階建 築3年,5.8万円
ｓｎＵｇ１０,5.8万円
ＪＲ中央線 中野駅 37階建 新築,5.9万円
サンファスト中野新井,12.8万円
ＪＲ中央線 東中野駅 3階建 築22年,12.8万円
フェリスモナ,18.2万円
ルミナス,24.7万円
ＪＲ中央線 中野駅 3階建 築4年,32.9万円
ＪＲ中央線 中野駅 地下1地上5階建 築7年,37.9万円
PERSICA NAKANO,13.75万円
東京メトロ丸ノ内線 新中野駅 2階建 築8年,10.5万円
ＪＲ中央線 中野駅 3階建 築10年,5.3万円
ＪＲ中央線 中野駅 5階建 築2年,12万円
ＪＲ中央線 中野駅 2階建 築11年,12.3万円
Ｍｅｒｖｅ中野,17.5万円
HNB,19万円
ＪＲ中央線 中野駅 5階建 築31年,19.5万円
ＪＲ中央線 中野駅 3階建 築8年,20万円
Ｐｏｕｓａｄａ－Ｌｕｍｉ,21.9万円
中野区中野6丁目3LDK新築戸建,12.5万円
中野区中野６丁目３LDK新築戸建,14万円
ロイヤルアーク高円寺,14.3万円
ＪＲ中央線 中野駅 5階建 築3年,14.3万円
西武新宿線 沼袋駅 2階建 築5年,14万円
ＪＲ中央線 中野駅 3階建 築9年,14万円
中野薫木荘,25.8万円
D-Room nakano,25.8万円
ＪＲ中央線 中野駅 3階建 築4年,26.8万円
ＪＲ総武線 中野駅 2階建 築16年,25.8万円
ＪＲ中央線 中野駅 4階建 築10年,22万円
HOUSE mm,19.9万円
ＪＲ総武線 中野駅 3階建 築30年,20.5万円
ベルフォーレ中野,21万円
ＪＲ中央線 中野駅 3階建 築12年,8.3万円
ＪＲ中央線 中野駅 地下1地上5階建 築18年,21万円
ＪＲ中央線 中野駅 3階建 新築,25.8万円
シティハウス中野レジデンス,25.8万円
ＪＲ中央線 中野駅 10階建 築12年,28万円
ＪＲ中央線 中野駅 5階建 築22年,28万円
ジョイコートM,12.1万円
東京メトロ東西線 中野駅 3階建 築9年,12.2万円
ガーデンケヤキ,12.1万円
ＪＲ中央線 中野駅 5階建 新築,12.2万円
東京メトロ丸ノ内線 新中野駅 11階建 築8年,13.5万円
コンフォルテハイム中野,13.5万円
Ｌａ　Ｄｏｕｃｅｕｒ新中野,12.1万円
ＧｒａｎＤｕｏ中野II,21.2万円
ＪＲ中央線 中野駅 6階建 築7年,21.5万円
東京メトロ東西線 中野駅 14階建 築2年,10.8万円
西武新宿線 新井薬師前駅 3階建 築6年,16.6万円
do La Tour 中野,19.7万円
ＪＲ中央線 中野駅 4階建 築11年,14.3万円
エルデンシア中野,11.6万円
ＪＲ中央線 中野駅 4階建 築32年,11万円
ルナーリア中野,21.9万円
ＪＲ中央線 中野駅 7階建 築17年,11.8万円
ＪＲ中央線 中野駅 4階建 築28年,14万円
ＪＲ総武線 中野駅 4階建 築7年,17.5万円
ドミール中野,12.1万円
ＪＲ中央線 中野駅 3階建 築9年,12.6万円
ソルジェンテ中野,9.8万円
ＪＲ中央線 中野駅 地下4地上4階建 築3年,9.8万円
GRAN　PASEO　Nakano,10.8万円
ＪＲ中央線 中野駅 6階建 築25年,16.6万円
サニーハイムA棟,19.7万円
ＪＲ中央線 中野駅 3階建 築44年,11.2万円
東京メトロ丸ノ内線 東高円寺駅 地下1地上4階建 築3年,12.5万円
ウィステリア・Ｋ,18万円
ＪＲ中央線 中野駅 8階建 築5年,18万円
ＪＲ中央線 中野駅 4階建 新築,17.8万円
グランデュール中野,18.5万円
フレンシア高円寺,13万円
ＪＲ中央線 中野駅 3階建 築12年,13万円
